0.0	ioctl	0x001249D0	0 / 1	0 / 2	11
0.0	usleep	0x001249E0	0 / 1	0 / 2	11
0.0	kill	0x001249F0	0 / 1	0 / 2	11
100.0	lua_type	0x00124A00	1 / 1	2 / 2	11
100.0	read	0x00124A10	1 / 1	2 / 2	11
100.0	getpid	0x00124A20	1 / 1	2 / 2	11
100.0	dlopen	0x00124A30	1 / 1	2 / 2	11
100.0	pthread_mutex_lock	0x00124A40	1 / 1	2 / 2	11
0.0	chdir	0x00124A50	0 / 1	0 / 2	11
0.0	backtrace	0x00124A60	0 / 1	0 / 2	11
0.0	setitimer	0x00124A70	0 / 1	0 / 2	11
100.0	pthread_mutex_init	0x00124A80	1 / 1	2 / 2	11
100.0	fread	0x00124A90	1 / 1	2 / 2	11
100.0	pthread_setcancelstate	0x00124AA0	1 / 1	2 / 2	11
100.0	lua_pcall	0x00124AB0	1 / 1	2 / 2	11
100.0	setenv	0x00124AC0	1 / 1	2 / 2	11
100.0	poll	0x00124AD0	1 / 1	2 / 2	11
0.0	ftello64	0x00124AE0	0 / 1	0 / 2	11
100.0	pthread_cond_wait	0x00124AF0	1 / 1	2 / 2	11
100.0	sigaddset	0x00124B00	1 / 1	2 / 2	11
100.0	lua_tonumber	0x00124B10	1 / 1	2 / 2	11
0.0	feof	0x00124B20	0 / 1	0 / 2	11
100.0	fgets	0x00124B30	1 / 1	2 / 2	11
0.0	lua_topointer	0x00124B40	0 / 1	0 / 2	11
0.0	backtrace_symbols_fd	0x00124B50	0 / 1	0 / 2	11
100.0	snprintf	0x00124B60	1 / 1	2 / 2	11
0.0	redisAsyncConnectBind	0x00124B70	0 / 1	0 / 2	11
100.0	gettimeofday	0x00124B80	1 / 1	2 / 2	11
100.0	fcntl64	0x00124B90	1 / 1	2 / 2	11
100.0	memmove	0x00124BA0	1 / 1	2 / 2	11
100.0	_exit	0x00124BB0	1 / 1	2 / 2	11
100.0	__fprintf_chk	0x00124BC0	1 / 1	2 / 2	11
0.0	redisAsyncSetDisconnectCallback	0x00124BD0	0 / 1	0 / 2	11
0.0	luaL_pushresult	0x00124BE0	0 / 1	0 / 2	11
100.0	asin	0x00124BF0	1 / 1	2 / 2	11
100.0	luaL_newstate	0x00124C00	1 / 1	2 / 2	11
0.0	access	0x00124C10	0 / 1	0 / 2	11
100.0	strtold	0x00124C20	1 / 1	2 / 2	11
100.0	luaL_checkstack	0x00124C30	1 / 1	2 / 2	11
100.0	__memcpy_chk	0x00124C40	1 / 1	2 / 2	11
100.0	realloc	0x00124C50	1 / 1	2 / 2	11
0.0	execve	0x00124C60	0 / 1	0 / 2	11
100.0	open64	0x00124C70	1 / 1	2 / 2	11
100.0	isatty	0x00124C80	1 / 1	2 / 2	11
0.0	luaL_addlstring	0x00124C90	0 / 1	0 / 2	11
0.0	lua_getstack	0x00124CA0	0 / 1	0 / 2	11
100.0	setsockopt	0x00124CB0	1 / 1	2 / 2	11
100.0	strdup	0x00124CC0	1 / 1	2 / 2	11
100.0	wait3	0x00124CD0	1 / 1	2 / 2	11
0.0	dlsym	0x00124CE0	0 / 1	0 / 2	11
100.0	cos	0x00124CF0	1 / 1	2 / 2	11
0.0	get_current_dir_name	0x00124D00	0 / 1	0 / 2	11
100.0	epoll_create	0x00124D10	1 / 1	2 / 2	11
0.0	flock	0x00124D20	0 / 1	0 / 2	11
100.0	malloc_usable_size	0x00124D30	1 / 1	2 / 2	11
100.0	luaL_loadstring	0x00124D40	1 / 1	2 / 2	11
0.0	inet_pton	0x00124D50	0 / 1	0 / 2	11
100.0	qsort	0x00124D60	1 / 1	2 / 2	11
100.0	lua_settop	0x00124D70	1 / 1	2 / 2	11
0.0	luaL_checkinteger	0x00124D80	0 / 1	0 / 2	11
0.0	putc	0x00124D90	0 / 1	0 / 2	11
100.0	luaL_register	0x00124DA0	1 / 1	2 / 2	11
100.0	fwrite	0x00124DB0	1 / 1	2 / 2	11
100.0	close	0x00124DC0	1 / 1	2 / 2	11
100.0	malloc_stats_print	0x00124DD0	1 / 1	2 / 2	11
100.0	lua_call	0x00124DE0	1 / 1	2 / 2	11
0.0	__read_chk	0x00124DF0	0 / 1	0 / 2	11
0.0	FUN_00124e00	0x00124E00	0 / 1	0 / 2	10
0.0	caseD_5	0x00124E0A	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E18	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E1F	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E26	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E2D	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E3B	0 / 1	0 / 2	8
0.0	caseD_5	0x00124E43	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E4A	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E51	0 / 1	0 / 2	10
0.0	caseD_5	0x00124E5B	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E62	0 / 1	0 / 2	8
0.0	caseD_5	0x00124E6A	0 / 1	0 / 2	7
0.0	caseD_5	0x00124E71	0 / 1	0 / 3	10
0.0	caseD_5	0x00124E91	0 / 1	0 / 2	9
0.0	caseD_5	0x00124E9A	0 / 1	0 / 4	11
0.0	caseD_5	0x00124EAC	0 / 1	0 / 3	16
0.0	caseD_5	0x00124EBC	0 / 1	0 / 2	7
0.0	caseD_5	0x00124ECA	0 / 1	0 / 2	7
0.0	caseD_5	0x00124ED8	0 / 1	0 / 2	7
0.0	caseD_5	0x00124EDF	0 / 1	0 / 2	8
0.0	caseD_5	0x00124EEF	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F20	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F27	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F2E	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F35	0 / 1	0 / 2	7
0.0	FUN_00124f3c	0x00124F3C	0 / 1	0 / 2	7
58.24175824175825	FUN_00124f43	0x00124F43	11 / 19	53 / 91	323
0.0	caseD_5	0x00124F4B	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F59	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F60	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F6E	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F7C	0 / 1	0 / 2	7
0.0	caseD_5	0x00124F83	0 / 1	0 / 2	8
0.0	caseD_5	0x00124F93	0 / 1	0 / 2	8
0.0	caseD_5	0x00124FA5	0 / 1	0 / 2	7
80.0	caseD_5	0x00124FAC	2 / 4	12 / 15	60
0.0	caseD_5	0x00124FBE	0 / 1	0 / 2	7
0.0	caseD_5	0x00124FC5	0 / 1	0 / 2	7
0.0	caseD_5	0x00124FE8	0 / 1	0 / 2	7
0.0	FUN_00124fef	0x00124FEF	0 / 1	0 / 2	7
0.0	caseD_5	0x0012500A	0 / 1	0 / 3	14
0.0	caseD_5	0x0012501F	0 / 1	0 / 2	7
0.0	caseD_5	0x00125026	0 / 1	0 / 2	7
0.0	caseD_5	0x0012503A	0 / 4	0 / 11	42
0.0	FUN_00125041	0x00125041	0 / 1	0 / 2	7
0.0	caseD_5	0x00125048	0 / 1	0 / 2	7
0.0	caseD_5	0x0012504F	0 / 1	0 / 2	7
0.0	FUN_00125056	0x00125056	0 / 1	0 / 2	10
0.0	caseD_5	0x00125060	0 / 1	0 / 2	7
0.0	FUN_00125067	0x00125067	0 / 1	0 / 2	7
0.0	caseD_5	0x00125083	0 / 1	0 / 2	8
0.0	caseD_5	0x0012508B	0 / 1	0 / 2	7
0.0	caseD_5	0x001250A7	0 / 1	0 / 2	7
0.0	caseD_5	0x001250B5	0 / 1	0 / 2	7
0.0	FUN_001250bc	0x001250BC	0 / 1	0 / 2	8
0.0	caseD_5	0x001250CB	0 / 1	0 / 2	7
0.0	caseD_5	0x001250D2	0 / 1	0 / 2	7
0.0	caseD_5	0x001250D9	0 / 1	0 / 2	7
0.0	caseD_5	0x001250E0	0 / 1	0 / 2	7
0.0	FUN_001250e7	0x001250E7	0 / 1	0 / 2	7
0.0	caseD_5	0x001250EE	0 / 1	0 / 2	7
0.0	caseD_5	0x0012510A	0 / 1	0 / 2	7
0.0	caseD_5	0x00125111	0 / 1	0 / 2	7
0.0	caseD_5	0x00125126	0 / 1	0 / 2	7
0.0	caseD_5	0x0012512D	0 / 1	0 / 2	9
0.0	FUN_0012513f	0x0012513F	0 / 1	0 / 2	7
0.0	caseD_5	0x00125146	0 / 1	0 / 2	7
0.0	caseD_5	0x00125154	0 / 1	0 / 2	7
0.0	FUN_0012515b	0x0012515B	0 / 1	0 / 2	7
0.0	caseD_5	0x00125162	0 / 1	0 / 2	7
0.0	caseD_5	0x00125169	0 / 1	0 / 2	7
0.0	caseD_5	0x00125170	0 / 1	0 / 2	7
0.0	caseD_5	0x00125177	0 / 1	0 / 2	7
0.0	FUN_0012517e	0x0012517E	0 / 1	0 / 2	7
0.0	caseD_5	0x00125185	0 / 1	0 / 2	7
0.0	caseD_5	0x0012518C	0 / 1	0 / 2	7
0.0	caseD_5	0x00125193	0 / 1	0 / 2	7
0.0	caseD_5	0x0012519A	0 / 1	0 / 2	7
0.0	caseD_5	0x001251A1	0 / 1	0 / 2	7
0.0	caseD_5	0x001251A8	0 / 1	0 / 2	7
0.0	caseD_5	0x001251AF	0 / 1	0 / 2	7
0.0	caseD_5	0x001251CB	0 / 1	0 / 2	7
0.0	caseD_5	0x001251D2	0 / 1	0 / 2	7
0.0	caseD_5	0x001251E0	0 / 1	0 / 2	7
0.0	caseD_5	0x001251E7	0 / 1	0 / 3	9
0.0	caseD_5	0x001251F0	0 / 1	0 / 2	7
0.0	caseD_5	0x001251F7	0 / 1	0 / 2	7
0.0	caseD_5	0x0012520C	0 / 1	0 / 2	7
0.0	caseD_5	0x0012521A	0 / 1	0 / 2	7
0.0	caseD_5	0x00125228	0 / 1	0 / 2	7
0.0	caseD_5	0x0012522F	0 / 1	0 / 2	7
0.0	caseD_5	0x00125236	0 / 1	0 / 2	7
0.0	caseD_5	0x0012523D	0 / 1	0 / 2	7
0.0	caseD_5	0x00125244	0 / 1	0 / 2	7
0.0	caseD_5	0x0012524B	0 / 1	0 / 2	9
0.0	FUN_00125254	0x00125254	0 / 1	0 / 2	7
0.0	FUN_00125262	0x00125262	0 / 1	0 / 2	7
0.0	caseD_5	0x00125270	0 / 1	0 / 2	7
0.0	caseD_5	0x00125277	0 / 1	0 / 2	7
0.0	caseD_5	0x0012527E	0 / 1	0 / 2	7
0.0	caseD_5	0x00125285	0 / 1	0 / 2	7
0.0	caseD_5	0x001252A8	0 / 1	0 / 2	7
0.0	caseD_5	0x001252B6	0 / 1	0 / 2	7
0.0	caseD_5	0x001252C4	0 / 1	0 / 2	7
0.0	FUN_001252e2	0x001252E2	0 / 1	0 / 2	7
0.0	caseD_5	0x001252F0	0 / 1	0 / 2	7
0.0	caseD_5	0x001252F7	0 / 1	0 / 2	7
0.0	caseD_5	0x0012531E	0 / 1	0 / 2	7
0.0	caseD_5	0x0012532D	0 / 1	0 / 2	7
0.0	caseD_5	0x0012534A	0 / 1	0 / 2	7
0.0	caseD_5	0x00125351	0 / 1	0 / 2	8
0.0	caseD_5	0x00125359	0 / 1	0 / 2	8
0.0	caseD_5	0x00125361	0 / 1	0 / 2	7
0.0	caseD_5	0x00125368	0 / 1	0 / 2	7
0.0	caseD_5	0x0012536F	0 / 1	0 / 2	7
0.0	caseD_5	0x0012537D	0 / 1	0 / 2	7
0.0	caseD_5	0x0012538B	0 / 1	0 / 2	7
0.0	caseD_5	0x001253A8	0 / 1	0 / 2	7
0.0	caseD_5	0x001253AF	0 / 1	0 / 2	7
0.0	caseD_5	0x001253B6	0 / 1	0 / 2	12
0.0	caseD_5	0x001253C2	0 / 1	0 / 2	7
0.0	caseD_5	0x001253D0	0 / 1	0 / 2	7
0.0	caseD_5	0x001253D7	0 / 1	0 / 2	7
0.0	caseD_5	0x001253DE	0 / 1	0 / 2	7
0.0	caseD_5	0x001253F3	0 / 1	0 / 2	7
0.0	caseD_5	0x001253FA	0 / 1	0 / 2	7
0.0	caseD_5	0x00125401	0 / 1	0 / 2	7
0.0	caseD_5	0x00125408	0 / 1	0 / 2	8
0.0	caseD_5	0x00125410	0 / 1	0 / 2	7
0.0	caseD_5	0x00125417	0 / 1	0 / 2	7
0.0	caseD_5	0x0012541E	0 / 1	0 / 2	7
0.0	FUN_0012542c	0x0012542C	0 / 1	0 / 2	7
0.0	caseD_5	0x00125433	0 / 1	0 / 2	7
0.0	caseD_5	0x0012543A	0 / 1	0 / 2	7
0.0	caseD_5	0x00125441	0 / 1	0 / 2	7
0.0	caseD_5	0x00125448	0 / 1	0 / 2	7
0.0	caseD_5	0x0012544F	0 / 1	0 / 2	7
0.0	caseD_5	0x0012546B	0 / 1	0 / 2	7
0.0	FUN_00125472	0x00125472	0 / 1	0 / 2	10
0.0	caseD_5	0x0012547C	0 / 1	0 / 2	7
0.0	caseD_5	0x0012548A	0 / 1	0 / 2	8
0.0	caseD_5	0x00125492	0 / 1	0 / 2	8
0.0	caseD_5	0x001254A2	0 / 1	0 / 2	11
0.0	caseD_5	0x001254AD	0 / 1	0 / 2	8
0.0	caseD_5	0x001254B5	0 / 1	0 / 2	7
0.0	caseD_5	0x001254BC	0 / 1	0 / 2	7
0.0	caseD_5	0x001254CB	0 / 1	0 / 2	7
0.0	caseD_5	0x001254D2	0 / 1	0 / 2	7
0.0	caseD_5	0x001254D9	0 / 1	0 / 2	7
0.0	caseD_5	0x001254E0	0 / 1	0 / 2	7
0.0	caseD_5	0x001254E7	0 / 1	0 / 2	7
0.0	caseD_5	0x001254EE	0 / 1	0 / 2	7
0.0	caseD_5	0x001254F5	0 / 1	0 / 2	7
0.0	caseD_5	0x001254FC	0 / 1	0 / 2	7
0.0	caseD_5	0x00125503	0 / 1	0 / 2	7
0.0	caseD_5	0x0012550A	0 / 1	0 / 2	7
0.0	caseD_5	0x00125511	0 / 1	0 / 2	7
0.0	caseD_5	0x00125518	0 / 1	0 / 2	7
0.0	caseD_5	0x0012551F	0 / 1	0 / 2	7
0.0	caseD_5	0x00125526	0 / 1	0 / 2	7
0.0	caseD_5	0x0012552D	0 / 1	0 / 2	7
0.0	caseD_5	0x00125534	0 / 1	0 / 2	7
0.0	FUN_0012553b	0x0012553B	0 / 1	0 / 2	7
0.0	caseD_5	0x00125542	0 / 1	0 / 4	15
0.0	caseD_5	0x00125551	0 / 1	0 / 2	7
0.0	caseD_5	0x00125558	0 / 1	0 / 2	7
0.0	caseD_5	0x0012555F	0 / 1	0 / 2	7
0.0	FUN_00125566	0x00125566	0 / 1	0 / 2	10
0.0	FUN_00125570	0x00125570	0 / 1	0 / 2	10
0.0	caseD_5	0x0012557A	0 / 1	0 / 2	7
0.0	caseD_5	0x00125596	0 / 1	0 / 2	7
0.0	caseD_5	0x0012559D	0 / 1	0 / 2	10
0.0	caseD_5	0x001255A7	0 / 1	0 / 2	7
0.0	caseD_5	0x001255AE	0 / 1	0 / 2	7
0.0	caseD_5	0x001255BC	0 / 1	0 / 3	19
0.0	caseD_5	0x001255CF	0 / 1	0 / 2	7
0.0	caseD_5	0x001255D6	0 / 1	0 / 2	7
0.0	caseD_5	0x001255E4	0 / 1	0 / 2	7
0.0	caseD_5	0x001255EB	0 / 1	0 / 2	7
41.50485436893204	main	0x00125600	18 / 71	171 / 412	1789
100.0	_start	0x00125D10	1 / 1	13 / 13	47
55.55555555555556	FUN_00125d40	0x00125D40	2 / 4	5 / 9	34
71.42857142857143	FUN_00125d70	0x00125D70	2 / 4	10 / 14	51
92.85714285714286	_FINI_0	0x00125DB0	4 / 5	13 / 14	54
100.0	_INIT_0	0x00125DF0	1 / 1	2 / 2	9
0.0	FUN_00125e00	0x00125E00	0 / 4	0 / 28	93
0.0	FUN_00125e60	0x00125E60	0 / 4	0 / 15	43
0.0	FUN_00125e90	0x00125E90	0 / 14	0 / 56	166
0.0	FUN_00125f70	0x00125F70	0 / 13	0 / 52	149
0.0	FUN_00126020	0x00126020	0 / 58	0 / 295	1201
0.0	FUN_00126530	0x00126530	0 / 18	0 / 109	407
0.0	FUN_001266e0	0x001266E0	0 / 49	0 / 264	1135
100.0	luaopen_struct	0x00126B70	1 / 1	8 / 8	37
0.0	mp_safe	0x00126BA0	0 / 3	0 / 37	113
0.0	memrevifle	0x00126C20	0 / 4	0 / 16	51
0.0	mp_realloc	0x00126C60	0 / 3	0 / 27	92
0.0	mp_buf_new	0x00126CC0	0 / 3	0 / 21	96
0.0	mp_buf_append	0x00126D20	0 / 5	0 / 55	176
0.0	mp_buf_free	0x00126DE0	0 / 1	0 / 19	60
0.0	mp_cur_init	0x00126E20	0 / 1	0 / 5	19
0.0	mp_encode_bytes	0x00126E40	0 / 10	0 / 58	212
0.0	mp_encode_double	0x00126F30	0 / 9	0 / 49	204
0.0	mp_encode_int	0x00127010	0 / 21	0 / 72	310
0.0	mp_encode_array	0x00127170	0 / 8	0 / 31	129
0.0	mp_encode_map	0x00127200	0 / 8	0 / 31	129
0.0	mp_encode_lua_string	0x00127290	0 / 3	0 / 25	93
